english,french,italian,german,english plural,french plural,italian plural,german plural
cake,gâteau,torta,kuchen,cakes,gateaux,torte,Kuchen
onion,oignon,cipolla,zwiebel,onions,oignons,cipolle,Zwiebeln
croissant,croissant,brioche,Croissant,croissants,croissants,Cornetti,Croissants
dried meat,viande séchée,carne essiccata,trockenes Fleisch,,,,
(yaourt OR yahourt OR yogourt OR yoghourt),(yaourt OR yahourt OR yaourt OR yaourt),(yaourt OR yahourt OR yogurt OR yogurt),(Yaourt OR Yahourt OR Joghurt OR Joghurt),(yaourts OR yahourts OR yogourts OR yoghourts),(yaourts OR yahourts),(Yaourt OR Yogurt),(Yaourts OR Yahourts OR Joghurts OR Joghurts) 
mozzarella,mozzarella,Mozzarella,Mozzarella,mozzarellas,mozzarellas,mozzarelle,Mozzarella
orange,Orange,arancia,Orange,oranges,des oranges,arance,Orangen
eggplant,aubergine,melanzana,Aubergine,eggplants,aubergines,melanzane,Auberginen
radish,un radis,ravanello,Rettich,radishes,des radis,Ravanelli,Radieschen
pickle,cornichon,salamoia,Essiggurke,pickles,cornichons,sottaceti,Gurken
mandarine,mandarine,mandarino,Mandarine,mandarines,mandarines,mandarini,Mandarinen
biscuit OR cookie,biscuit,biscotto,Keks OR platzchen,biscuits OR cookies,biscuits,biscotti,Kekse OR geback
fennel,fenouil,finocchio,Fenchel,fennels,fenouils,finocchi,fenchel
asparagus,asperge,asparago,Spargel,asparagus,asperges,asparagi,spargel
sauce cream,creme de sauce,salsa di panna,Sosse Sahne,,,,
pasta OR noodles,pâtes OR nouilles,pasta OR Noodles,Nudeln OR Nudeln,,,,
olive,Olive,oliva,Olive,olives,Olives,olive,Oliven
corn,mais,Mais,Mais,,,,
sauce,sauce,salsa OR sugo,Soße,sauces,sauces,salse,sossen
bacon,lard,Bacon,Speck,bacons,lardons,pancetta,speck
sweet potato,patate douce,patata dolce,Süßkartoffel,sweet potatoes,patates douces,patate dolci,Susskartoffeln
tofu,Tofu,tofu,Tofu,,,,
quinoa,quinoa,Quinoa,Andenhirse,,,,
kiwi,kiwi,kiwi,Kiwi,kiwis,Kiwis,Kiwi,Kiwis
hummus,Hoummous,hummus,Hummus,,,,
fish,poisson,pesce,Fisch,fishes,poissons,Pesci,Fische
mushroom,champignon,fungo,Pilz,mushrooms,champignons,funghi,Pilze
salad dressing,vinaigrette,condimento per insalata,Salatsosse,salad dressings,vinaigrettes,condimenti per insalata,Salat Sosse
raspberry,framboise,lampone,Himbeere,raspberries,framboises,lamponi,Himbeeren
cauliflower,choufleur,cavolfiore,Blumenkohl,cauliflowers,choux fleurs,cavolfiori,Blumenkohl
risotto,Risotto,risotto,Risotto,,,,
feta,feta,feta,Feta,,,,
milk,lait,latte,Milch,milks,laits,latti,milch
apple pie,tarte aux pommes,torta di mele,Apfelkuchen,apple pies,tartes aux pommes,torte di mele,Apfelkuchen
crepe,crepe,crepe,Krepp,crepes,crepes,crepes,Crepes
hamburger OR burger,Hamburger,Hamburger,Hamburger,hamburgers OR burgers,,,
melon,melon,melone,Melone,melons,melons,meloni,Melonen
tart,Tarte,crostata,Torte,tarts,tartes,crostate,Geback
walnut,noyer,noce,Nussbaum,walnuts,noix,Noci,Walnusse
chicory,chicorée,cicoria,Chicorée,chicories,chicons,cicorie,Zichorien
fruit salad,salade de fruit,Macedonia,Fruchtsalat,fruit salads,salades de fruits,macedonie di frutta,Obstsalate
tuna,Thon,tonno,Thunfisch,tunas,thons,tonni,Thunfische
grape,raisin,uva,Traube,grapes,les raisins,uva,Weintrauben
muesli,muesli,muesli,Müsli,,,,
mashed potatoes,purée de pomme de terre,pure di patate,Kartoffelpüree,,,,
soup,soupe,la minestra,Suppe,soups,soupes,zuppe,Suppen
apricot,abricot,albicocca,Aprikose,apricots,abricots,albicocche,Aprikosen
ratatouille,Ratatouille,Ratatouille,Ratatouille,,,,
chickpea,pois chiche,Cece,Kichererbse,chickpeas,pois chiches,Ceci,Kichererbsen
chicken breast,poitrine de poulet,petto di pollo,Hühnerbrust,chicken breasts,poitrines de poulet,petto di pollo,Huhnerbrust
curry,curry,curry,Curry,,,,
beetroot,betterave,barbabietola,Rote Beete,beetroots,racines de betterave,barbabietole,Rubenwurzeln
bolognaise,bolognaise,bolognese,Bolognaise,,,,
ketchup,ketchup,ketchup,Ketchup,ketchups,ketchup,ketchup,Ketchups
beef,du boeuf,Manzo,Rindfleisch,,,,
caprese salad,Caprese Salad,insalata caprese,Capresesalat,caprese salads,salades caprese,Insalate Caprese,Caprese Salate
guacamole,guacamole,guacamole,Guacamole,,,,
egg scrambled,oeuf brouillé,uova strapazzate,Ruhrei,eggs scrambled,oeufs brouilles,uova strapazzate,Ruhrei
lentil,Lentille,Lenticchia,Linse,lentils,Lentilles,Lenticchie,Linsen
(thickened OR whipped) cream,creme (épaissie OR fouettée),(addensata OR montata) panna,(eingedickt OR geschlagene) Sahne,,,,
sausage,saucisse,salsiccia,Würstchen,sausages,saucisses,salsicce,Würste
couscous,couscous,couscous,Couscous,,,,
cabbage,chou,cavolo,Kohl,cabbages,choux,cavoli,Kohl
soup pumpkin,potage a la citrouille,zuppa di zucca,Suppe Kürbis,pumpkin soups,soupes a la citrouille,zuppe di zucca,Kürbissuppen
raclette,raclette,raclette,Raclette,,,,
pesto,Pesto,pesto,Pesto,,,,
praline,praliné,pralina,Pralinen,,,,
sauce roast,rôti de sauce,arrosto al sugo,Sossenbraten,,,,
cashew,anacardier,anacardi,Cashew,cashews,noix de cajou,anacardi,Cashewkerne
crisps,chips,patatine,Chips,,,,
lemon,citron,Limone,Zitrone,lemons,citrons,limoni,Zitronen
pea,pois,pisello,Erbse,peas,petit pois,piselli,Erbsen
mushroom,champignon,fungo,Pilz,mushrooms,champignons,funghi,Pilze
pomegranate,Grenade,Melograno,Granatapfel,pomegranates,grenades,melograni,Granatäpfel
nectarine,nectarine,Nettarina,Nektarine,nectarines,nectarines,nettarine,Nektarinen
pork,porc,Maiale,Schweinefleisch,,,,
peanut,cacahuete,arachidi,Erdnuss,peanuts,cacahuetes,arachidi,Erdnüsse
salt cake,gâteau de sel,torta di sale,Salzkuchen,salt cakes,gateaux de sel,torte salate,Salzkuchen
pistachio,pistache,pistacchio,Pistazie,pistachios,pistaches,pistacchi,Pistazien
omelette,omelette,frittata,Omelette,,,,
leek,poireau,Porro,Lauch,,,,
berry,baie,bacca,Beere,berries,baies,frutti di bosco,Beeren
mango,mangue,Mango,Mango,mangos,mangues,mango,Mangos
shrimp OR prawn,crevettes OR gambas,gamberi OR gamberetti,Garnelen OR Garnelen,shrimps OR prawns,crevettes,gamberetti,Garnelen
spaetzle,Spaetzle,spaetzle,Spätzle,,,,
sushi,Sushi,Sushi,Sushi,,,,
tiramisu,tiramisu,Tiramisu,Tiramisu,,,,
gnocchi,Gnocchi,Gnocchi,Gnocchi,,,,
grits OR polenta OR (maize flour),gruau OR polenta OR (farine de mais),semola OR polenta OR (farina di mais),Grütze OR Polenta OR (Maismehl),,,,
breadcrumbs,chapelure,briciole di pane,Semmelbrösel,,,,
fajita,fajitas,fajita,fajita,,,,
sour cream,creme aigre,panna acida,Sauerrahm,,,,
lasagne,Lasagne,lasagne,Lasagne,,,,
pineapple,l'ananas,ananas,Ananas,pineapples,Ananas,ananas,Ananas
peach,peche,pesca,Pfirsich,peaches,peches,Pesche,Pfirsiche
peanut butter,beurre d'arachide,burro di arachidi,Erdnussbutter,,,,
celeriac,céleri-rave,sedano rapa,Sellerie,,,,
roll pastry,rouleau de pâte,rotolo di pasta,Brötchen,roll pastries,rouler des pâtisseries,rotoli di pasticcini,Brötchen
quiche OR (puff pastry),quiche OR (pâte feuilletée),quiche OR (pasta sfoglia),Quiche OR (Blätterteig),,,,
tomme,tomme,tomme,tomme,,,,
watermelon,pasteque,anguria,Wassermelone,watermelons,pasteques,cocomeri,Wassermelonen
kolhrabi OR (german turnip),kolhrabi,kolhrabi,Kolhrabisch,,,,
puff pastry,pâte feuilletée,sfoglia,Blätterteig,puff pastries,pates feuilletees,pasta sfoglia,Blätterteig
taboule OR couscous,taboulé OR couscous,taboule OR cous cous,Taboulé OR Couscous,,,,
pancake,Crepe,Pancake,Pfannkuchen,pancakes,Crepes,Pancakes,Pfannkuchen
rosti,rosti,rosti,rosti,,,,
fruit tart,tarte aux fruits,tartina alla frutta,Obstkuchen,,,,
(hazelnut OR chocolate) spread OR nutella OR ovomaltine OR caotina,(noisette OR chocolat) tartinade OR nutella OR ovomaltine OR caotina,(nocciola OR cioccolato) spalmabile OR nutella OR ovomaltina OR caotina,(Haselnuss OR Schokolade) Brotaufstrich OR Nutella OR Ovomaltine OR Caotina,,,,
pumpkin,citrouille,zucca,Kürbis,pumpkins,citrouilles,zucche,Kürbisse
flakes oat,flocons d'avoine,fiocchi d'avena,Haferflocken,,,,
seeds,des graines,semi,Saat,,,,
brioche,brioche,brioche,Brioche,,,,
brownie,lutin,brownie,Brownie,brownies,Brownies,brownies,Brownies
corn crisps,chips de mais,patatine di mais,Maischips,,,,
pate,crâne,paté,Pastete,,,,
almond,amande,mandorla,Mandel,almonds,amandes,mandorle,Mandeln
raisin,raisin,uvetta,Rosine,raisins,raisins secs,uva passa,Rosinen
plum,prune,prugna,Pflaume,plums,prunes,prugne,Pflaumen
kefir,kéfir,kefir,Kefir,,,,
(soup OR dahl) lentil,(soupe OR dahl) lentille,(zuppa OR dahl) lenticchie,(Suppe OR Dahl) Linsen,,,,
sesame seed,graine de sésame,semo di sesamo,Sesamsame,sesame seeds,graines de sesame,semi di sesamo,Sesamsamen
artichoke,artichaut,carciofo,Artischocke,artichokes,artichauts,carciofi,Artischocken
greek salad,salade grecque,Insalata greca,griechischer Salat,,,,
cream,creme,crema,Sahne,,,,
date,datte,dattero,dattel,dates,dattes,datteri,datteln
fruit coulis,coulis de fruits,coulis di frutta,Fruchtcoulis,,,,
beef steak,Steak de boeuf,bistecca di manzo,Rindersteak,,,,
rusk,biscotte,fette biscottate,Zwieback,,,,
focaccia,fougasse,focaccia,Focaccia,,,,
alfa sprouts,germes d'alfa,germogli alfa,Alfa Sprossen,,,,
applesauce,Compote de pommes,Salsa di mele,Apfelsoße,,,,
pita,Pita,Pita,Pita-Brot,pitas,pitas,pita,pitas
sauce mushroom,champignons en sauce,salsa di funghi,Soße Pilz,,,,
hazelnut,Noisette,nocciola,Haselnuss,hazelnuts,noisettes,Nocciole,Haselnusse
sauce soya,sauce soja,salsa di soia,Soße Soja,,,,
falafel,falafel,Falafel,Falafel,,,,
veggie burger,Burger végétarien,hamburger vegetariano,Veggie Burger,,,,
