category,images,contains
pasta OR noodles,C_oas0fXYAAV4sv.jpg,1
couscous,C_oGbvMXcAA0GY0.jpg,1
eggplant,C_oGbvMXcAA0GY0.jpg,1
taboule OR couscous,C_oGbvMXcAA0GY0.jpg,1
onion,C_OnuedXgAA52bJ.jpg,0
sauce,C_OnuedXgAA52bJ.jpg,1
cheese,C_oZ-hjXgAAZG9H.jpg,1
cake,C_QHdPQXsAEoTQr.jpg,1
tart,C_QHdPQXsAEoTQr.jpg,0
cheese,C_qkU0WW0AAXJuJ.jpg,1
cheese,C_QPzzbXsAEOrD2.jpg,1
pizza,C_QPzzbXsAEOrD2.jpg,1
pizza,C_qUCMVXgAAiwB2.jpg,1
bacon,C_QXd_KWsAAjetN.jpg,1
salad,C_SAXXeXkAEqGH9.jpg,0
bean,C_SqNwVWAAQFeP6.jpg,0
bean,C_SqNwWXsAAr3y_.jpg,0
bean,C_SqNwXXcAAyD_3.jpg,0
bread,C_tYsvWXYAAFarN.jpg,1
puff pastry,C_tYsvWXYAAFarN.jpg,1
quiche OR (puff pastry),C_tYsvWXYAAFarN.jpg,1
bread,C_tYsvZXcAA3gfw.jpg,1
puff pastry,C_tYsvZXcAA3gfw.jpg,1
quiche OR (puff pastry),C_tYsvZXcAA3gfw.jpg,1
cucumber,C_U2o28W0AEweho.jpg,1
berry,C_uxk2qW0AEkcTY.jpg,1
honey,C_uYYjQWsAA4Bo0.jpg,0
cream,C_VNcmXXUAA1IPx.jpg,1
ice cream,C_VNcmXXUAA1IPx.jpg,1
strawberry,C_x_b1UXgAAQXP2.jpg,1
cheese,C_xZm68XsAAv-hF.jpg,0
nut,C_XzXO4WAAAo1HR.jpg,1
strawberry,C_y5M0EXgAALW27.jpg,1
cake,C_YBoHhXYAA6j2l.jpg,1
corn,C_YOh_gXUAAw2u9.jpg,0
pesto,C_yZSd3W0AA0T5F.jpg,1
apple,C--yVcYW0AAgWVV.jpg,0
asparagus,C-1FiTqXUAAXbti.jpg,1
pizza,C-1swSMXkAQWYeO.jpg,1
salad,C-4S49UXgAI64Pf.jpg,0
pea,C-607xeWAAADW0I.jpg,1
apple,C-6kwCnXgAAR8e7.jpg,0
pizza,C-7VQRpXcAAo_f2.jpg,1
salad,C-9WDQjXsAA1UNQ.jpg,0
pate,C-AkTUBXUAAUaOS.jpg,1
bacon,C-b1HDdXcAAH2gJ.jpg,1
hamburger OR burger,C-b1HDdXcAAH2gJ.jpg,1
onion,C-b1HDdXcAAH2gJ.jpg,1
cake,C-bPA58XUAIjXge.jpg,1
chocolate,C-c4dxPWsAExI__.jpg,1
bread,C-CkzNBXYAEejYG.jpg,0
salad,C-d8CA1WAAAwTp7.jpg,0
salad,C-d8JebXsAI1qPJ.jpg,0
milk,C-DAHZ6XgAALrwG.jpg,0
bacon,C-fHF53XsAAWDsQ.jpg,1
potato,C-fHF53XsAAWDsQ.jpg,1
cake,C-FxrIRXcAAz8Ko.jpg,1
tomato,C-g0M78WsAAVb05.jpg,0
cake,C-GfOcPXsAEX1ae.jpg,1
pizza,C-GONnbXoAADilQ.jpg,1
vegetable,C-hIqugXgAIoAld.jpg,1
cheese,C-HovWMV0AAmmOV.jpg,1
chocolate,C-hYqNcXsAIG235.jpg,1
ketchup,C-IRVKqXYAYdBZt.jpg,1
mayonnaise,C-IRVKqXYAYdBZt.jpg,1
corn,C-iSxUGWAAABP7W.jpg,0
sausage,C-K8GKDVYAAMsZw.jpg,1
tomato,C-KTJhxWsAARDAW.jpg,0
tomato,C-KTJioW0AAOwk-.jpg,0
tomato,C-KTJj0XoAA78ow.jpg,1
hamburger OR burger,C-lEU2hXUAAjziJ.jpg,0
asparagus,C-lF99hXkAUu20T.jpg,1
date,C-mWGncXUAAXnjC.jpg,0
apple,C-PEKNRWsAICBJu.jpg,0
chips OR french fries OR crisps OR country fries,C-PEKNRWsAICBJu.jpg,1
salad,C-PEKNRWsAICBJu.jpg,0
apple,C-POZICXYAAkFju.jpg,0
avocado,C-Q2Ak5WsAA7S1F.jpg,1
guacamole,C-Q2Ak5WsAA7S1F.jpg,1
lemon,C-Q2Ak5WsAA7S1F.jpg,0
onion,C-Q2Ak5WsAA7S1F.jpg,0
tomato,C-Q2Ak5WsAA7S1F.jpg,0
cheese,C-R7lT5XoAAu_dq.jpg,0
chocolate,C-RM_ffWsAAhIhU.jpg,1
cheese,C-RrUwnXoAAjTH5.jpg,0
cake,C-ScCe6WAAA1Y_s.jpg,1
ice cream,C-ScCe6WAAA1Y_s.jpg,1
salad,C-t96cYXoAAWmq4.jpg,0
salad,C-UGprqXgAEx-2Y.jpg,0
chocolate,C-ut6h0W0AArLRA.jpg,1
chocolate,C-ut6hzWAAEwOMX.jpg,1
chocolate,C-ut6hzXsAACz90.jpg,1
cheese,C-W-5yBXsAAtdDx.jpg,1
chocolate,C-W-5yBXsAAtdDx.jpg,1
curry,C-zCwcbXgAEG9sC.jpg,1
rice,C-zCwcbXgAEG9sC.jpg,1
salad,C-zCwcbXgAEG9sC.jpg,0
salad,C-ZTnh9XYAADE-k.jpg,0
chickpea,C1_OtBYW8AApthU.jpg,1
curry,C1_OtBYW8AApthU.jpg,1
bread,C1-0h6vXgAAGVZ2.jpg,0
bread,C1-z4PxXcAAqfM4.jpg,0
pasta OR noodles,C10A1srXEAA31mc.jpg,1
cheese,C10S0whWQAAkO-P.jpg,1
potato,C11SsKAXUAAvewA.jpg,1
onion,C11wgOJWEAEFsoO.jpg,1
egg,C12Tv3PW8AU_K-d.jpg,1
nut,C15AU3jUsAANLTw.jpg,1
chocolate,C15V3B0XcAEytnY.jpg,0
corn,C15xNPkXcAAwb3a.jpg,0
(hazelnut OR chocolate) spread OR nutella OR ovomaltine OR caotina,C17ZBDXWEAAI5GF.jpg,1
cream,C1apUpbXUAAdewY.jpg,1
lemon,C1apUpbXUAAdewY.jpg,1
raspberry,C1apUpbXUAAdewY.jpg,0
pomegranate,C1b0wceXgAAvLq9.jpg,1
beef,C1bGanHXEAAZCEk.jpg,1
pizza,C1C1f1MXgAAi9cT.jpg,1
chocolate,C1e_3wLWIAA6grJ.jpg,1
cake,C1eI0TAXAAAIvTC.jpg,1
sauce,C1F3NbBXEAElloP.jpg,1
spaghetti,C1F3NbBXEAElloP.jpg,0
hamburger OR burger,C1faWLkWIAA3GuD.jpg,1
raclette,C1Fgy0DXAAEwt5S.jpg,1
cake,C1fiNEjXgAEPaMc.jpg,0
cake,C1fkEWjXcAAJeU2.jpg,1
hamburger OR burger,C1hX72KW8AAt6eb.jpg,1
chocolate,C1J-TSaXcAAFvJE.jpg,1
banana,C1jhpjHWgAAuqak.jpg,0
chocolate,C1KB_uUXEAACRIY.jpg,1
bacon,C1kuladWQAEw_aR.jpg,0
bean,C1kuladWQAEw_aR.jpg,0
apple,C1l600LXgAUuRAE.jpg,1
apple pie,C1l600LXgAUuRAE.jpg,1
chicken,C1l7Z-IXUAIaGgx.jpg,1
sauce,C1l7Z-IXUAIaGgx.jpg,0
raclette,C1lJ4jaWEAI9oH-.jpg,1
pasta OR noodles,C1lKvhsXEAAMLEN.jpg,1
pumpkin,C1lyTJ2WQAIF0Ka.jpg,1
soup,C1lyTJ2WQAIF0Ka.jpg,1
soup pumpkin,C1lyTJ2WQAIF0Ka.jpg,1
bread,C1MKYtLWQAIxgFt.jpg,1
almond,C1mT8XoXEAAMjaK.jpg,0
butter,C1mT8XoXEAAMjaK.jpg,0
pasta OR noodles,C1mT8XoXEAAMjaK.jpg,0
puff pastry,C1mT8XoXEAAMjaK.jpg,1
pasta OR noodles,C1o_D_-XUAArAvB.jpg,1
pasta OR noodles,C1o_EABWgAIzpg9.jpg,1
bacon,C1O-a3MWEAAnt2Y.jpg,1
raclette,C1p_b_AXAAI7Ub9.jpg,0
pizza,C1qijg0WQAICjo5.jpg,1
apple,C1qlUdjWIAAuX2K.jpg,0
nut,C1TzAcCWEAQtpiA.jpg,1
pizza,C1U6DaXXUAA7glJ.jpg,1
pizza,C1U6nZEW8AADvmF.jpg,1
soup,C1ux0OQWgAAQQJx.jpg,1
vegetable,C1ux0OQWgAAQQJx.jpg,1
cabbage,C1uYn32W8AACizY.jpg,0
cheese,C1uYn32W8AACizY.jpg,0
salad,C1uYn32W8AACizY.jpg,0
cabbage,C1uYn33XUAEzl5_.jpg,0
cheese,C1uYn33XUAEzl5_.jpg,1
salad,C1uYn33XUAEzl5_.jpg,0
pizza,C1Vpz3tXgAAHUWL.jpg,1
berry,C1VRybhWEAAD4-T.jpg,1
brioche,C1vuE9IUkAAaMIF.jpg,0
chocolate,C1vuE9IUkAAaMIF.jpg,1
crepe,C1vuE9IUkAAaMIF.jpg,1
croissant,C1vuE9IUkAAaMIF.jpg,0
pancake,C1vuE9IUkAAaMIF.jpg,1
quiche OR (puff pastry),C1vuE9IUkAAaMIF.jpg,0
brioche,C1vuE9IVEAAhcz2.jpg,1
chocolate,C1vuE9IVEAAhcz2.jpg,1
crepe,C1vuE9IVEAAhcz2.jpg,0
croissant,C1vuE9IVEAAhcz2.jpg,0
pancake,C1vuE9IVEAAhcz2.jpg,0
quiche OR (puff pastry),C1vuE9IVEAAhcz2.jpg,0
brioche,C1vuE9IVQAA9jqn.jpg,0
chocolate,C1vuE9IVQAA9jqn.jpg,1
crepe,C1vuE9IVQAA9jqn.jpg,1
croissant,C1vuE9IVQAA9jqn.jpg,0
pancake,C1vuE9IVQAA9jqn.jpg,1
quiche OR (puff pastry),C1vuE9IVQAA9jqn.jpg,0
brioche,C1vuE9KUcAIliZa.jpg,0
chocolate,C1vuE9KUcAIliZa.jpg,0
crepe,C1vuE9KUcAIliZa.jpg,0
croissant,C1vuE9KUcAIliZa.jpg,0
pancake,C1vuE9KUcAIliZa.jpg,0
quiche OR (puff pastry),C1vuE9KUcAIliZa.jpg,1
(yaourt OR yahourt OR yogourt OR yoghourt),C1vyaD_UoAQ8mYZ.jpg,0
bread,C1vyaD_UoAQ8mYZ.jpg,1
chocolate,C1vyaD_UoAQ8mYZ.jpg,0
croissant,C1vyaD_UoAQ8mYZ.jpg,0
jam,C1vyaD_UoAQ8mYZ.jpg,0
(yaourt OR yahourt OR yogourt OR yoghourt),C1vyaEAUQAA_JK_.jpg,1
bread,C1vyaEAUQAA_JK_.jpg,0
chocolate,C1vyaEAUQAA_JK_.jpg,1
croissant,C1vyaEAUQAA_JK_.jpg,1
jam,C1vyaEAUQAA_JK_.jpg,0
chocolate,C1vYVO9UAAAyYGW.jpg,1
hamburger OR burger,C1wnU6fWgAI1QAj.jpg,0
honey,C1ZaL-6WgAAgmH8.jpg,0
raisin,C1ZEwMUWQAAkXGg.jpg,0
lentil,C1zta8nW8AAlY5S.jpg,1
apple,C2-FZO2WgAAm4x4.jpg,0
apple,C2-FZO4XAAAZDGE.jpg,0
apple,C2-FZO6XEAEEWYF.jpg,0
apple,C2-FZOzXcAATSfG.jpg,0
chocolate,C2-Nq8iXUAMM5mX.jpg,1
apple,C21deTcWQAAT30f.jpg,0
seeds,C21hP_RXcAAqgdl.jpg,1
beetroot,C221rY_XgAI98Ri.jpg,1
soup,C221rY_XgAI98Ri.jpg,1
chocolate,C23qliSXcAA7QP8.jpg,1
cream,C24u2UiXcAALTdW.jpg,1
cream,C24u2UrWgAAJB5I.jpg,1
raclette,C29fVgQXAAA0Liw.jpg,1
potato,C2C3eQ6W8AAeDtt.jpg,1
sweet potato,C2C3eQ6W8AAeDtt.jpg,1
salad,C2dh8ecXcAEL-n4.jpg,1
tuna,C2dh8ecXcAEL-n4.jpg,1
salad,C2dhxKIW8AA16fI.jpg,0
tuna,C2dhxKIW8AA16fI.jpg,1
salad,C2diEHZXUAAkbYc.jpg,0
tuna,C2diEHZXUAAkbYc.jpg,0
pizza,C2DKJ7AXUAI6Wd_.jpg,1
lemon,C2E5KBZXAAIl5Rs.jpg,0
tart,C2E5KBZXAAIl5Rs.jpg,1
corn,C2EFsP1XEAAmRS2.jpg,0
fajita,C2EFsP1XEAAmRS2.jpg,1
honey,C2eLpi3XAA0abqG.jpg,0
cheese,C2fhGXrWIAAsTHc.jpg,1
corn,C2G3qwfXEAE9E6Z.jpg,0
blueberry,C2H3Hp2XgAAZT2A.jpg,1
chocolate,C2H3Hp2XgAAZT2A.jpg,0
raspberry,C2H3Hp2XgAAZT2A.jpg,0
seeds,C2H3Hp2XgAAZT2A.jpg,0
date,C2itlbmXcAASkw2.jpg,0
gruyere,C2jaopPXgAAb_fq.jpg,0
sauce,C2jaopPXgAAb_fq.jpg,1
cheese,C2JQudmXAAAmfEx.jpg,1
chocolate,C2JQudmXAAAmfEx.jpg,1
chocolate,C2loBEMUsAEUg2S.jpg,1
praline,C2loBEMUsAEUg2S.jpg,1
cream,C2m7LPFWIAEO_H6.jpg,1
fruit tart,C2M8g2RWgAApgk0.jpg,1
pistachio,C2M8g2RWgAApgk0.jpg,0
tart,C2M8g2RWgAApgk0.jpg,1
gruyere,C2NBaNAWEAARZAN.jpg,1
hamburger OR burger,C2ntuvmWQAEy-cp.jpg,1
pizza,C2OT-n8WIAIsy31.jpg,1
apple,C2PV6fnWEAIr8DA.jpg,0
banana,C2PYZ4xWEAQlRNa.jpg,0
pasta OR noodles,C2STBi4XUAEiZ8m.jpg,0
bread,C2STx_JW8AE_u-K.jpg,1
seeds,C2STx_JW8AE_u-K.jpg,1
lentil,C2tGh8PWIAABVGK.jpg,1
pasta OR noodles,C2TyfXrWQAE5UM3.jpg,1
pizza,C2USntuWQAASyzm.jpg,1
fennel,C2X2ZGlWQAE1eYO.jpg,0
cheese,C2xe2MTXEAA2oNW.jpg,1
pasta OR noodles,C2Xqc42WIAA4dnj.jpg,0
chocolate,C2XTVW4XUAEocTc.jpg,1
cream,C2y0NtJWgAAkJM9.jpg,0
ice cream,C2y0NtJWgAAkJM9.jpg,1
pate,C2Y4JpWXcAEv3M3.jpg,0
cauliflower,C2yJwjVXgAQacSi.jpg,0
rice,C2yJwjVXgAQacSi.jpg,1
avocado,C2ZbxlsWEAAhIXz.jpg,1
salad,C2ZbxlsWEAAhIXz.jpg,1
tuna,C2ZbxlsWEAAhIXz.jpg,1
mozzarella,C2zYIIIWgAM1C_W.jpg,1
sauce,C2zYIIIWgAM1C_W.jpg,1
sausage,C2zYIIIWgAM1C_W.jpg,0
hamburger OR burger,C2zZFeJXEAEiAIb.jpg,1
onion,C2zZFeJXEAEiAIb.jpg,1
pizza,C3_8jzaW8AEkGjj.jpg,1
salmon,C3_8jzaW8AEkGjj.jpg,0
shrimp OR prawn,C3_8jzaW8AEkGjj.jpg,0
soup,C3_8zJNXUAEXyNa.jpg,1
sushi,C30mREqWAAEgVyD.jpg,1
potato,C31FJxQWQAAjqzK.jpg,1
nut,C31jncWWMAgXHN4.jpg,1
walnut,C31jncWWMAgXHN4.jpg,1
bread,C31Y8IwWYAAqcnr.jpg,0
egg,C348J4TWYAAqPrx.jpg,1
orange,C34pZKhXUAA0Obp.jpg,1
cheese,C35bf2pWIAAuZFq.jpg,1
pasta OR noodles,C35bf2pWIAAuZFq.jpg,1
pesto,C35bf2pWIAAuZFq.jpg,0
bread,C35T6shW8AAT7rX.jpg,1
chicken,C36sa7AXUAABv4s.jpg,0
soup,C36sa7AXUAABv4s.jpg,0
sauce,C36XAkoXUAA8li_.jpg,1
raclette,C37AReoWIAICqDh.jpg,1
cheese,C37BmvDWYAE0KZz.jpg,1
sausage,C38MdLAWEAAtNS7.jpg,1
lemon,C39_x8KWMAAIYsH.jpg,1
lentil,C39_x8KWMAAIYsH.jpg,1
soup,C39_x8KWMAAIYsH.jpg,1
corn,C3AdoJsWgAA6_nc.jpg,0
cheese,C3Akv3GWIAENnE9.jpg,1
milk,C3Akv3GWIAENnE9.jpg,0
cake,C3bY8WzWAAAsUrX.jpg,1
chocolate,C3CLHrZXAAA8b5v.jpg,1
pasta OR noodles,C3dcPvkWIAYqwdk.jpg,1
sauce,C3dcPvkWIAYqwdk.jpg,1
cake,C3f5-12W8AAkvFP.jpg,1
orange,C3fqQnrWYAANqji.jpg,1
apple,C3fs-DMW8AAH8uu.jpg,0
pork,C3fs-DMW8AAH8uu.jpg,0
tart,C3fs-DMW8AAH8uu.jpg,1
cheese,C3hF3aIWQAAv4eT.jpg,1
honey,C3hF3aIWQAAv4eT.jpg,0
milk,C3hF3aIWQAAv4eT.jpg,0
cheese,C3hF3aMXAAIaqNg.jpg,1
honey,C3hF3aMXAAIaqNg.jpg,0
milk,C3hF3aMXAAIaqNg.jpg,0
cheese,C3hF3aNWEAI8BbW.jpg,0
honey,C3hF3aNWEAI8BbW.jpg,1
milk,C3hF3aNWEAI8BbW.jpg,0
cheese,C3hF3aNWIAAvAmO.jpg,0
honey,C3hF3aNWIAAvAmO.jpg,0
milk,C3hF3aNWIAAvAmO.jpg,0
egg,C3hG60yWcAAujZG.jpg,1
orange,C3hG60yWcAAujZG.jpg,0
cake,C3hogquWAAAwAve.jpg,0
seeds,C3IH6hIXAAAR6-M.jpg,1
soup,C3k_zfHWQAAYcCm.jpg,1
rice,C3Kr2TZWcAAmPsC.jpg,1
apple,C3ljclYWMAAp-4K.jpg,0
corn,C3lqK--WIAAc2EB.jpg,0
cheese,C3mc5kVWAAA1JPd.jpg,1
potato,C3mc5kVWAAA1JPd.jpg,1
almond,C3ngvNXWcAAGfo-.jpg,0
bacon,C3ngvNXWcAAGfo-.jpg,0
leek,C3ngvNXWcAAGfo-.jpg,1
shrimp OR prawn,C3ngvNXWcAAGfo-.jpg,1
carrot,C3oyEo0WEAETZRJ.jpg,1
potato,C3oyEo0WEAETZRJ.jpg,1
nut,C3Q74WlWEAApf74.jpg,1
tofu,C3Q74WlWEAApf74.jpg,0
walnut,C3Q74WlWEAApf74.jpg,1
cheese,C3QIEzFWcAAUqRa.jpg,1
milk,C3QIEzFWcAAUqRa.jpg,0
corn,C3qIm6fWcAIkvpX.jpg,0
apple,C3rGzoOWcAE_jsO.jpg,1
chicken,C3rT94UVMAA11As.jpg,1
chocolate,C3u_XoVWEAAfSvs.jpg,1
olive,C3uCf8DUcAAIMGG.jpg,1
jam,C3ueW2vWEAAuRqh.jpg,1
sushi,C3vlIS1XAAAw5S4.jpg,1
brownie,C3VV2WCXUAEUnqm.jpg,1
chocolate,C3VV2WCXUAEUnqm.jpg,1
banana,C3VZESTWYAA7cje.jpg,0
salmon,C3W5L2FW8AMWJDl.jpg,0
spaghetti,C3WbCS5WIAALCh6.jpg,1
tuna,C3WLsq2WQAA0v-n.jpg,1
leek,C3XJZ1LWIAAa-3f.jpg,0
tuna,C3XJZ1LWIAAa-3f.jpg,0
vegetable,C3XJZ1LWIAAa-3f.jpg,1
cheese,C3XxoLMWQAAoUB5.jpg,0
cheese,C3XxoLPWcAAfJzp.jpg,0
hamburger OR burger,C3zk6sBWEAE3edJ.jpg,1
corn,C4-Xa9pWcAMvhHH.jpg,1
hamburger OR burger,C4-Xa9pWcAMvhHH.jpg,1
salad,C4-Xa9pWcAMvhHH.jpg,1
bread,C42q2NMWMAAAkH8.jpg,1
apple,C43cwsGWEAEEE7C.jpg,1
corn,C44XkeqVUAAZe-S.jpg,0
chickpea,C44xSx6UYAAmGJA.jpg,0
lentil,C44xSx6UYAAmGJA.jpg,0
potato,C44xSx6UYAAmGJA.jpg,1
cheese,C45U6lRUYAA2F4k.jpg,1
chocolate,C471frKWEAA-kr9.jpg,1
chocolate,C47PcRPWEAEW8IA.jpg,0
chocolate,C47PZVoXAAApo8Y.jpg,1
apple,C48aWy5WQAAI2Ry.jpg,0
salad,C48aWy5WQAAI2Ry.jpg,1
soup,C48aWy5WQAAI2Ry.jpg,0
cheese,C49dgqoWQAQk2kG.jpg,1
bacon,C49vxksWMAQmPYC.jpg,1
sausage,C49vxksWMAQmPYC.jpg,0
cake,C4aj35zWAAEevIA.jpg,1
honey,C4aka2fWQAQSa9h.jpg,0
lemon,C4aka2fWQAQSa9h.jpg,1
brownie,C4c7P4TWYAAnAxI.jpg,1
cheese,C4dii4cWQAAzOjE.jpg,1
raclette,C4dii4cWQAAzOjE.jpg,1
chocolate,C4Dk8AuWQAEq5Pd.jpg,0
chips OR french fries OR crisps OR country fries,C4dMkz3WAAAQo_p.jpg,1
crisps,C4dMkz3WAAAQo_p.jpg,1
apricot,C4doNe7WEAA2VL4.jpg,0
lasagne,C4doNe7WEAA2VL4.jpg,0
apricot,C4doNe9WEAAA368.jpg,0
lasagne,C4doNe9WEAAA368.jpg,1
beef,C4dsTfxWMAAkEio.jpg,1
hamburger OR burger,C4dsTfxWMAAkEio.jpg,1
egg,C4DU7_ZWQAEonDz.jpg,1
crepe,C4eAI66W8AIYgz7.jpg,1
pancake,C4eAI66W8AIYgz7.jpg,1
spaghetti,C4EFG1GWAAAf51f.jpg,1
bacon,C4FIRF0WMAUc3eL.jpg,0
banana,C4FIRF0WMAUc3eL.jpg,0
peanut,C4FIRF0WMAUc3eL.jpg,0
bacon,C4FIRFqWcAETHm4.jpg,0
banana,C4FIRFqWcAETHm4.jpg,0
peanut,C4FIRFqWcAETHm4.jpg,0
bacon,C4FIRHZWYAALlqr.jpg,0
banana,C4FIRHZWYAALlqr.jpg,0
peanut,C4FIRHZWYAALlqr.jpg,0
chocolate,C4FJPteWYAAq_XD.jpg,1
raclette,C4I3mucWYAAcYGt.jpg,1
strawberry,C4id158W8AAG5rN.jpg,1
apple,C4IqMoOWQAAvILi.jpg,0
cake,C4jCvdOWMAQYdqk.jpg,1
cream,C4jLGBrWEAEyZZS.jpg,1
cake,C4juwknW8AAP9kl.jpg,1
chocolate,C4kBwkmWEAA3ANu.jpg,1
potato,C4KSiWLXUAYS26k.jpg,1
sausage,C4KSiWLXUAYS26k.jpg,1
mozzarella,C4lIvbEWEAAiNp-.jpg,1
tomato,C4lIvbEWEAAiNp-.jpg,1
cake,C4o_OiOWYAEdHqS.jpg,1
tart,C4o_OiOWYAEdHqS.jpg,0
egg,C4O3q3fWQAEkzoM.jpg,1
avocado,C4OTW_hXUAAV1Q2.jpg,1
soup,C4P7keyWEAAPS_U.jpg,1
cake,C4pAKUMWEAAgFa5.jpg,1
tart,C4pAKUMWEAAgFa5.jpg,0
cake,C4pB23xWYAENpbU.jpg,1
tart,C4pB23xWYAENpbU.jpg,0
cake,C4pBnjfWEAAxvwV.jpg,1
tart,C4pBnjfWEAAxvwV.jpg,0
tart,C4pkkEeWcAAFXnH.jpg,0
apple,C4Sa3tOWcAEd0Df.jpg,0
salad,C4Sa3tOWcAEd0Df.jpg,1
soup,C4Sa3tOWcAEd0Df.jpg,0
nut,C4Tl0jfWEAARSMY.jpg,1
cream,C4Ty9yKXUAAi4L_.jpg,0
ice cream,C4Ty9yKXUAAi4L_.jpg,1
cheese,C4TYhUjWEAAhW7q.jpg,0
bread,C4uh5BdWIAABtyw.jpg,1
plum,C4utpJgXAAAZW51.jpg,0
chicory,C4UXa8AXUAEyqKh.jpg,0
cake,C4vu6V5XUAAWZhX.jpg,1
lemon,C4vu6V5XUAAWZhX.jpg,0
cake,C4Xh1L8VMAITqoe.jpg,1
apple,C4YhInMWQAAk6N7.jpg,0
quinoa,C4YhInMWQAAk6N7.jpg,1
salad,C4YhInMWQAAk6N7.jpg,1
apple,C4YqODYXAAAY0TD.jpg,1
curry,C4ZsAmgW8AEHE_p.jpg,1
bean,C5_eSX5WUAQYjCD.jpg,0
hamburger OR burger,C5_eSX5WUAQYjCD.jpg,1
date,C5_ts82XQAA3r_W.jpg,0
croissant,C5-zHpeWgAAsRjX.jpg,1
peach,C50cKzlXEAAtHsa.jpg,0
bread,C56bn4-WgAAOGEt.jpg,0
curry,C56bn4-WgAAOGEt.jpg,1
vegetable,C56Hx2GWMAAafZE.jpg,1
curry,C57-Bt8WgAAxawM.jpg,0
pizza,C5dHRyxWcAEQtop.jpg,0
(hazelnut OR chocolate) spread OR nutella OR ovomaltine OR caotina,C5dnTe4WcAQQVS9.jpg,1
pizza,C5dnTe4WcAQQVS9.jpg,1
chocolate,C5G8E43WIAACvyd.jpg,1
sushi,C5Gix1-WcAABV0T.jpg,1
apple,C5gPOwtXMAAR0js.jpg,0
salad,C5gPOwtXMAAR0js.jpg,1
orange,C5Gxno3WEAAhGfX.jpg,0
corn,C5hC2zLWAAAC-BY.jpg,0
bread,C5Hi6RQWQAEBuCs.jpg,1
raclette,C5hY2E5WUAAzIVX.jpg,1
quinoa,C5iBkq1WAAATTPR.jpg,0
vegetable,C5iBkq1WAAATTPR.jpg,1
apple,C5IL4fDXUAA2LgF.jpg,1
apple pie,C5IL4fDXUAA2LgF.jpg,1
quiche OR (puff pastry),C5IvcWqWEAA02Sx.jpg,1
cheese,C5JEMeoWcAE1sXj.jpg,1
milk,C5LpXcEXUAAl-DC.jpg,0
pork,C5LpXcEXUAAl-DC.jpg,1
cake,C5lrmStXMAAk-3_.jpg,0
quinoa,C5lrmStXMAAk-3_.jpg,1
curry,C5mNr5wWYAAwlEH.jpg,1
banana,C5mSthGWAAUrlnx.jpg,0
cake,C5mSthGWAAUrlnx.jpg,1
chocolate,C5mSthGWAAUrlnx.jpg,1
rosti,C5NDViVWQAA7PRx.jpg,1
curry,C5RncgXWMAIrO6p.png,1
pasta OR noodles,C5RRSHDWcAIk9eK.jpg,1
pizza,C5sf-JkWQAE2Lz3.jpg,1
bread,C5ShP6oXUAYXIJp.jpg,0
